"Monday, Sep 16 2024",,,
AB 103,,,
3:10 P.M. - 4:25 P.M.,"ENTR 2400 02 18383, MW 1510-1625 CLAS 08/26",,
6:00 P.M. - 8:00 P.M.,Sigma Alpha recruitment week,"Carr, Sydni",
BU 208,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"ECON 4240 01 13648, MWF 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"FIN 2100 01 16677, MWF 1000-1050 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"AGEC 1020 01 XL 10028, MWF 1100-1150 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"ECON 1020 01 XL 10810, MWF 1100-1150 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"COSC 3340 01 XL 11971, MWF 1200-1250 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"MATH 3340 01 XL 11879, MWF 1200-1250 CLAS 08/26",,
3:10 P.M. - 4:00 P.M.,"ARMY 4025 01 10078, M 1510-1600 CLAS 08/26",,
4:10 P.M. - 5:00 P.M.,"ARMY 4015 01 10077, M 1610-1700 CLAS 08/26",,
5:10 P.M. - 7:00 P.M.,"ARMY 4010 01 11390, M 1710-1900 CLAS 08/26","Garcia, Veronica",
BU 209,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"MATH 4255 01 XL 11522, MWF 0900-0950 CLAS 08/26","Garcia, Veronica",
9:00 A.M. - 9:50 A.M.,"MATH 5255 01 XL 11937, MWF 0900-0950 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"STAT 4255 01 XL 11521, MWF 0900-0950 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"STAT 5255 01 XL 11520, MWF 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"STAT 5210 01 13685, MWF 1000-1050 CLAS 08/26","Garcia, Veronica",
11:00 A.M. - 12:15 P.M.,"ENTR 5601 01 17834, MW 1100-1215 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ECON 5020 01 10815, MWF 1310-1400 CLAS 08/26",,
2:10 P.M. - 3:00 P.M.,"ECON 5330 01 10814, MWF 1410-1500 CLAS 08/26",,
3:10 P.M. - 4:00 P.M.,"STEP 1102 07 14424, MW 1510-1600 CLAS 08/26",,
6:00 P.M. - 7:00 P.M.,SHRM-Weekly,"True, Taylor",766.4075
BU 21,,,
Event Times,Event,Contact,
10:00 A.M. - 10:50 A.M.,"FIN 3000 01 16771, MWF 1000-1050 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"FIN 3310 01 12030, MWF 1310-1400 CLAS 08/26",,
2:10 P.M. - 3:00 P.M.,"ACCT 2010 01 15182, MWF 1410-1500 CLAS 08/26",,
6:00 P.M. - 9:00 P.M.,Anime Club,"Sutherburg, Kevin",
BU 210,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"MOLB 4600 01 XL 13621, MWF 0900-0950 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"MOLB 5600 01 XL 13624, MWF 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"ACCT 3240 01 16665, MWF 1000-1050 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"STAT 4350 01 XL 18449, MWF 1200-1250 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"STAT 5350 01 XL 18450, MWF 1200-1250 CLAS 08/26",,
1:10 P.M. - 3:00 P.M.,"ENR 1010 01 18326, MW 1310-1500 CLAS 08/26","Garcia, Veronica",
3:10 P.M. - 4:25 P.M.,"FIN 2100 02 17298, MW 1510-1625 CLAS 08/26",,
5:10 P.M. - 6:25 P.M.,"EAP 4010 01 XL 18341, MW 1710-1825 CLAS 08/26",,
5:10 P.M. - 6:25 P.M.,"EAP 5010 01 XL 18342, MW 1710-1825 CLAS 08/26",,
BU 211,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"FIN 2100 03 17303, MWF 0900-0950 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"ECON 5350 01 11678, MWF 1100-1150 CLAS 08/26",,
3:00 P.M. - 4:30 P.M.,Economics guest speaker,"Faycosh, Kourtney",
